state,date,crop_type,planted_area,production
Johor,2017-01-01,cash_crops,3780.3,42424.1
Johor,2018-01-01,cash_crops,3483.7,43420.4
Johor,2019-01-01,cash_crops,3007.5,38566.7
Johor,2020-01-01,cash_crops,3056.2,42963.0
Johor,2021-01-01,cash_crops,3522.4,47538.7
Johor,2022-01-01,cash_crops,3397.3,46960.0
Johor,2017-01-01,coconut,14931.6,107731.0
Johor,2018-01-01,coconut,12949.7,95495.7
Johor,2019-01-01,coconut,10762.9,99375.1
Johor,2020-01-01,coconut,11887.0,106723.2
Johor,2021-01-01,coconut,12380.5,118278.2
Johor,2022-01-01,coconut,13269.8,124062.2
Johor,2017-01-01,flower,1455.2,245074825.0
Johor,2018-01-01,flower,1481.4,249486172.0
Johor,2019-01-01,flower,1509.6,254226409.0
Johor,2020-01-01,flower,1467.3,193720524.0
Johor,2021-01-01,flower,1442.4,164836794.0
Johor,2022-01-01,flower,1461.1,168133530.0
Johor,2017-01-01,fruits,59264.8,603693.0
Johor,2018-01-01,fruits,46698.3,567300.8
Johor,2019-01-01,fruits,41504.2,543387.3
Johor,2020-01-01,fruits,44779.0,557842.7
Johor,2021-01-01,fruits,50231.6,631711.1
Johor,2022-01-01,fruits,50217.0,772317.4
Johor,2017-01-01,herbs,394.8,2316.5
Johor,2018-01-01,herbs,453.4,3060.2
Johor,2019-01-01,herbs,189.7,1936.3
Johor,2020-01-01,herbs,179.0,2586.1
Johor,2021-01-01,herbs,266.8,2642.8
Johor,2022-01-01,herbs,256.2,2722.4
Johor,2017-01-01,industrial_crops,16161.0,117769.7
Johor,2018-01-01,industrial_crops,13625.3,98700.0
Johor,2019-01-01,industrial_crops,11369.7,102455.0
Johor,2020-01-01,industrial_crops,12463.1,110575.5
Johor,2021-01-01,industrial_crops,12975.7,123560.5
Johor,2022-01-01,industrial_crops,13820.5,128173.1
Johor,2017-01-01,paddy,3000.0,8563.0
Johor,2018-01-01,paddy,2866.0,9424.0
Johor,2019-01-01,paddy,2555.0,7704.0
Johor,2020-01-01,paddy,2547.0,7502.0
Johor,2021-01-01,paddy,2505.0,9031.0
Johor,2022-01-01,paddy,2776.0,10832.0
Johor,2017-01-01,spices,1507.6,14532.3
Johor,2018-01-01,spices,999.0,11548.8
Johor,2019-01-01,spices,962.0,13679.7
Johor,2020-01-01,spices,1211.6,15368.5
Johor,2021-01-01,spices,1645.5,18401.5
Johor,2022-01-01,spices,1568.0,17925.1
Johor,2017-01-01,vegetables,16117.2,203846.0
Johor,2018-01-01,vegetables,14502.9,198459.8
Johor,2019-01-01,vegetables,15359.3,203996.5
Johor,2020-01-01,vegetables,14843.7,208260.3
Johor,2021-01-01,vegetables,17186.9,242213.7
Johor,2022-01-01,vegetables,17188.3,245330.4
Kedah,2017-01-01,cash_crops,760.4,5439.2
Kedah,2018-01-01,cash_crops,662.3,5429.3
Kedah,2019-01-01,cash_crops,611.8,5341.0
Kedah,2020-01-01,cash_crops,579.5,3318.3
Kedah,2021-01-01,cash_crops,517.1,4093.7
Kedah,2022-01-01,cash_crops,496.2,4462.4
Kedah,2017-01-01,coconut,1289.4,5754.5
Kedah,2018-01-01,coconut,897.0,6558.9
Kedah,2019-01-01,coconut,995.7,5131.3
Kedah,2020-01-01,coconut,2155.1,10046.3
Kedah,2021-01-01,coconut,1854.4,10185.3
Kedah,2022-01-01,coconut,1773.7,31787.5
Kedah,2017-01-01,flower,33.9,746350.0
Kedah,2018-01-01,flower,34.5,759785.0
Kedah,2019-01-01,flower,35.2,774221.0
Kedah,2020-01-01,flower,34.2,589956.0
Kedah,2021-01-01,flower,40.9,724037.0
Kedah,2022-01-01,flower,40.5,718245.0
Kedah,2017-01-01,fruits,10687.0,49420.8
Kedah,2018-01-01,fruits,11972.4,69874.0
Kedah,2019-01-01,fruits,11242.0,71440.5
Kedah,2020-01-01,fruits,11175.4,61839.5
Kedah,2021-01-01,fruits,9733.8,73092.9
Kedah,2022-01-01,fruits,9762.2,96009.6
Kedah,2017-01-01,herbs,169.8,563.0
Kedah,2018-01-01,herbs,175.0,532.6
Kedah,2019-01-01,herbs,174.9,442.7
Kedah,2020-01-01,herbs,196.4,367.2
Kedah,2021-01-01,herbs,103.5,319.7
Kedah,2022-01-01,herbs,176.5,282.7
Kedah,2017-01-01,industrial_crops,2378.1,8081.6
Kedah,2018-01-01,industrial_crops,1178.6,8929.7
Kedah,2019-01-01,industrial_crops,1248.4,8448.9
Kedah,2020-01-01,industrial_crops,2440.4,12265.2
Kedah,2021-01-01,industrial_crops,2119.7,12885.6
Kedah,2022-01-01,industrial_crops,2051.5,35503.6
Kedah,2017-01-01,paddy,214585.0,939308.0
Kedah,2018-01-01,paddy,214592.0,955662.0
Kedah,2019-01-01,paddy,214252.0,859018.0
Kedah,2020-01-01,paddy,214328.0,914200.0
Kedah,2021-01-01,paddy,214880.0,906692.0
Kedah,2022-01-01,paddy,213718.0,834901.0
Kedah,2017-01-01,spices,651.5,1383.3
Kedah,2018-01-01,spices,562.5,1440.9
Kedah,2019-01-01,spices,548.2,1302.6
Kedah,2020-01-01,spices,577.9,971.5
Kedah,2021-01-01,spices,351.6,965.3
Kedah,2022-01-01,spices,419.9,2166.5
Kedah,2017-01-01,vegetables,1691.9,17111.7
Kedah,2018-01-01,vegetables,1345.9,14115.0
Kedah,2019-01-01,vegetables,1631.3,16823.1
Kedah,2020-01-01,vegetables,1555.0,12790.5
Kedah,2021-01-01,vegetables,1317.8,12909.6
Kedah,2022-01-01,vegetables,1051.2,15812.1
Sabah,2017-01-01,cash_crops,2048.9,12515.7
Sabah,2018-01-01,cash_crops,1212.6,10465.0
Sabah,2019-01-01,cash_crops,1482.7,14580.2
Sabah,2020-01-01,cash_crops,1298.4,11209.7
Sabah,2021-01-01,cash_crops,1323.7,11143.9
Sabah,2022-01-01,cash_crops,1485.6,10526.0
Sabah,2017-01-01,coconut,16726.2,49335.3
Sabah,2018-01-01,coconut,16968.4,50477.5
Sabah,2019-01-01,coconut,17041.0,55337.1
Sabah,2020-01-01,coconut,17274.7,57392.1
Sabah,2021-01-01,coconut,18257.7,59214.8
Sabah,2022-01-01,coconut,18631.8,61517.9
Sabah,2017-01-01,flower,59.9,7976625.0
Sabah,2018-01-01,flower,61.0,8120204.0
Sabah,2019-01-01,flower,62.1,8274488.0
Sabah,2020-01-01,flower,60.4,6305160.0
Sabah,2021-01-01,flower,62.7,6662662.0
Sabah,2022-01-01,flower,63.5,6782590.0
Sabah,2017-01-01,fruits,17592.5,108917.5
Sabah,2018-01-01,fruits,18093.2,108138.7
Sabah,2019-01-01,fruits,18484.0,127771.1
Sabah,2020-01-01,fruits,19112.5,123396.6
Sabah,2021-01-01,fruits,20301.3,123132.2
Sabah,2022-01-01,fruits,20922.2,106700.0
Sabah,2017-01-01,herbs,0.0,0.0
Sabah,2018-01-01,herbs,0.0,0.0
Sabah,2019-01-01,herbs,1.2,0.9
Sabah,2020-01-01,herbs,1.2,0.4
Sabah,2021-01-01,herbs,1.2,0.4
Sabah,2022-01-01,herbs,6.2,0.0
Sabah,2017-01-01,industrial_crops,18990.1,54902.3
Sabah,2018-01-01,industrial_crops,19388.0,55713.9
Sabah,2019-01-01,industrial_crops,19501.6,60823.8
Sabah,2020-01-01,industrial_crops,19287.6,61436.4
Sabah,2021-01-01,industrial_crops,20336.0,62926.4
Sabah,2022-01-01,industrial_crops,20836.1,64810.3
Sabah,2017-01-01,paddy,42157.0,110936.0
Sabah,2018-01-01,paddy,42442.0,122390.0
Sabah,2019-01-01,paddy,43546.0,112569.0
Sabah,2020-01-01,paddy,40446.0,117846.0
Sabah,2021-01-01,paddy,38732.0,112284.0
Sabah,2022-01-01,paddy,37323.0,107565.0
Sabah,2017-01-01,spices,461.6,2386.8
Sabah,2018-01-01,spices,398.8,2193.2
Sabah,2019-01-01,spices,387.0,2442.2
Sabah,2020-01-01,spices,463.1,2536.2
Sabah,2021-01-01,spices,430.5,2744.8
Sabah,2022-01-01,spices,452.1,2921.6
Sabah,2017-01-01,vegetables,4350.7,43623.7
Sabah,2018-01-01,vegetables,4348.4,42767.0
Sabah,2019-01-01,vegetables,4541.9,46227.3
Sabah,2020-01-01,vegetables,4363.8,43271.7
Sabah,2021-01-01,vegetables,4160.9,41448.8
Sabah,2022-01-01,vegetables,4353.1,46681.9
Sarawak,2017-01-01,cash_crops,4533.3,27179.8
Sarawak,2018-01-01,cash_crops,3078.8,14335.9
Sarawak,2019-01-01,cash_crops,1789.0,16805.9
Sarawak,2020-01-01,cash_crops,4108.1,25114.6
Sarawak,2021-01-01,cash_crops,3780.1,24524.4
Sarawak,2022-01-01,cash_crops,3705.3,23436.0
Sarawak,2017-01-01,coconut,12635.1,30627.8
Sarawak,2018-01-01,coconut,13258.7,30113.5
Sarawak,2019-01-01,coconut,12401.1,54023.3
Sarawak,2020-01-01,coconut,12003.3,51490.3
Sarawak,2021-01-01,coconut,11947.8,24139.1
Sarawak,2022-01-01,coconut,12100.3,24522.3
Sarawak,2017-01-01,flower,72.9,1208083.0
Sarawak,2018-01-01,flower,74.2,1229829.0
Sarawak,2019-01-01,flower,75.6,1253195.0
Sarawak,2020-01-01,flower,73.5,954935.0
Sarawak,2021-01-01,flower,76.2,1009080.0
Sarawak,2022-01-01,flower,77.1,1025225.0
Sarawak,2017-01-01,fruits,35248.7,150688.5
Sarawak,2018-01-01,fruits,37078.3,141047.3
Sarawak,2019-01-01,fruits,35769.8,160713.7
Sarawak,2020-01-01,fruits,36868.7,174313.9
Sarawak,2021-01-01,fruits,36814.1,145573.0
Sarawak,2022-01-01,fruits,36397.5,147922.3
Sarawak,2017-01-01,herbs,685.4,3016.4
Sarawak,2018-01-01,herbs,666.5,2842.4
Sarawak,2019-01-01,herbs,665.0,2854.7
Sarawak,2020-01-01,herbs,654.4,2809.4
Sarawak,2021-01-01,herbs,643.6,2947.6
Sarawak,2022-01-01,herbs,637.9,2981.2
Sarawak,2017-01-01,industrial_crops,55903.7,239297.5
Sarawak,2018-01-01,industrial_crops,55459.1,104710.7
Sarawak,2019-01-01,industrial_crops,58192.5,249948.7
Sarawak,2020-01-01,industrial_crops,80396.3,182901.1
Sarawak,2021-01-01,industrial_crops,80408.3,155557.2
Sarawak,2022-01-01,industrial_crops,48509.1,127987.5
Sarawak,2017-01-01,paddy,120713.0,246305.0
Sarawak,2018-01-01,paddy,135426.0,265358.0
Sarawak,2019-01-01,paddy,109261.0,215491.0
Sarawak,2020-01-01,paddy,90865.2,167588.9
Sarawak,2021-01-01,paddy,83143.0,148903.0
Sarawak,2022-01-01,paddy,77943.0,147272.0
Sarawak,2017-01-01,spices,544.0,3556.3
Sarawak,2018-01-01,spices,473.7,2744.3
Sarawak,2019-01-01,spices,465.7,2700.5
Sarawak,2020-01-01,spices,498.9,2988.4
Sarawak,2021-01-01,spices,496.7,2919.6
Sarawak,2022-01-01,spices,481.8,2863.1
Sarawak,2017-01-01,vegetables,5031.1,51872.4
Sarawak,2018-01-01,vegetables,4533.7,43691.0
Sarawak,2019-01-01,vegetables,6098.2,61348.8
Sarawak,2020-01-01,vegetables,6057.6,62163.5
Sarawak,2021-01-01,vegetables,5595.3,56647.8
Sarawak,2022-01-01,vegetables,5255.3,53191.2
Selangor,2017-01-01,cash_crops,1295.4,20445.2
Selangor,2018-01-01,cash_crops,1220.5,17368.8
Selangor,2019-01-01,cash_crops,1108.3,16707.2
Selangor,2020-01-01,cash_crops,1061.8,13330.3
Selangor,2021-01-01,cash_crops,936.9,11764.4
Selangor,2022-01-01,cash_crops,605.6,9411.1
